Date,Country,Status,AQI Value
2022-07-21 00:00:00,Albania,Good,14.0
2022-07-21 00:00:00,Algeria,Moderate,65.0
2022-07-21 00:00:00,Andorra,Moderate,55.0
2022-07-21 00:00:00,Angola,Unhealthy For Sensitive Groups,113.0
2022-07-21 00:00:00,Argentina,Moderate,63.0
2022-07-21 00:00:00,Armenia,Moderate,76.0
2022-07-21 00:00:00,Australia,Moderate,56.0
2022-07-21 00:00:00,Austria,Good,45.0
2022-07-21 00:00:00,Azerbaijan,Good,12.0
2022-07-21 00:00:00,Bahrain,Unhealthy,165.0
2022-07-21 00:00:00,Bangladesh,Unhealthy For Sensitive Groups,141.0
2022-07-21 00:00:00,Belarus,Good,13.0
2022-07-21 00:00:00,Belgium,Moderate,61.0
2022-07-21 00:00:00,Belize,Good,28.0
2022-07-21 00:00:00,Bermuda,Good,12.0
2022-07-21 00:00:00,Bolivia,Good,9.0
2022-07-21 00:00:00,Bosnia And Herzegovina,Moderate,58.0
2022-07-21 00:00:00,Brazil,Moderate,67.0
2022-07-21 00:00:00,Brunei,Good,15.0
2022-07-21 00:00:00,Bulgaria,Good,28.0
2022-07-21 00:00:00,Burkina Faso,Unhealthy For Sensitive Groups,118.0
2022-07-21 00:00:00,Cambodia,Good,15.0
2022-07-21 00:00:00,Canada,Moderate,62.0
2022-07-21 00:00:00,Cape Verde,Good,43.0
2022-07-21 00:00:00,Cayman Islands,Good,6.0
2022-07-21 00:00:00,Central African Republic,Unhealthy,156.0
2022-07-21 00:00:00,Chad,Moderate,59.0
2022-07-21 00:00:00,Chile,Unhealthy,178.0
2022-07-21 00:00:00,China,Unhealthy,160.0
2022-07-21 00:00:00,Colombia,Moderate,63.0
2022-07-21 00:00:00,Costa Rica,Good,25.0
2022-07-21 00:00:00,Croatia,Good,33.0
2022-07-21 00:00:00,Cyprus,Good,50.0
2022-07-21 00:00:00,Czech Republic,Moderate,77.0
2022-07-21 00:00:00,Denmark,Good,36.0
2022-07-21 00:00:00,Dominican Republic,Good,26.0
2022-07-21 00:00:00,Ecuador,Moderate,54.0
2022-07-21 00:00:00,Egypt,Moderate,86.0
2022-07-21 00:00:00,El Salvador,Moderate,80.0
2022-07-21 00:00:00,Estonia,Good,15.0
2022-07-21 00:00:00,Ethiopia,Unhealthy,165.0
2022-07-21 00:00:00,Finland,Good,25.0
2022-07-21 00:00:00,France,Moderate,72.0
2022-07-21 00:00:00,French Guiana,Good,13.0
2022-07-21 00:00:00,Gabon,Unhealthy For Sensitive Groups,118.0
2022-07-21 00:00:00,Gambia,Good,9.0
2022-07-21 00:00:00,Georgia,Good,41.0
2022-07-21 00:00:00,Germany,Moderate,77.0
2022-07-21 00:00:00,Ghana,Unhealthy For Sensitive Groups,117.0
2022-07-21 00:00:00,Gibraltar,Good,34.0
2022-07-21 00:00:00,Greece,Good,38.0
2022-07-21 00:00:00,Grenada,Good,3.0
2022-07-21 00:00:00,Guadeloupe,Good,7.0
2022-07-21 00:00:00,Guam,Good,1.0
2022-07-21 00:00:00,Guatemala,Good,47.0
2022-07-21 00:00:00,Honduras,Good,47.0
2022-07-21 00:00:00,Hong Kong,Good,30.0
2022-07-21 00:00:00,Hungary,Moderate,57.0
2022-07-21 00:00:00,Iceland,Good,8.0
2022-07-21 00:00:00,India,Unhealthy,162.0
2022-07-21 00:00:00,Indonesia,Moderate,93.0
2022-07-21 00:00:00,Iran,Very Unhealthy,250.0
2022-07-21 00:00:00,Iraq,Very Unhealthy,234.0
2022-07-21 00:00:00,Ireland,Good,14.0
