AQI Value (Standardized),Status
-0.5818499251498259,Moderate
-0.35457563108586415,Unhealthy For Sensitive Groups
-0.8242758388180518,Moderate
-1.1348840407054663,Good
-0.9303371760479007,Good
-0.35457563108586415,Unhealthy For Sensitive Groups
-0.06669485860484588,Unhealthy
-1.0363985132777496,Good
-0.6424564035668824,Moderate
-1.104580801496938,Good
-1.119732421101202,Good
-0.5439708761391656,Moderate
-0.08184647820911,Unhealthy
-1.0515501328820136,Good
-0.6651838329732785,Moderate
-1.119732421101202,Good
-1.1727630897161265,Good
-0.3773030604922603,Unhealthy For Sensitive Groups
-0.3773030604922603,Unhealthy For Sensitive Groups
-1.0591259426841457,Good
-0.5894257349519579,Moderate
-1.2485211877374471,Good
-1.1576114701118625,Good
-1.0591259426841457,Good
-0.1727561958346947,Unhealthy For Sensitive Groups
-0.725790311390335,Moderate
-0.9833678446628251,Good
0.046942288427135014,Unhealthy
-0.7939725996095236,Moderate
-0.6197289741604862,Moderate
-0.9606404152564288,Good
-0.22578686444961912,Unhealthy For Sensitive Groups
-1.0136710838713534,Good
-0.9000339368393724,Moderate
-0.7636693604009953,Moderate
-1.089429181892674,Good
-0.8394274584223159,Moderate
-1.2182179485289188,Good
-0.9833678446628251,Good
-0.2863933428666756,Unhealthy For Sensitive Groups
-1.0212468936734853,Good
-0.9606404152564288,Good
-0.7333661211924671,Moderate
-0.9076097466415045,Moderate
-0.8167000290159198,Moderate
-1.119732421101202,Good
-0.7409419309945992,Moderate
-1.1348840407054663,Good
-1.097004991694806,Good
-0.9227613662457687,Good
-0.18790781543895882,Unhealthy For Sensitive Groups
-1.2182179485289188,Good
-0.7939725996095236,Moderate
-1.1651872799139944,Good
-0.7863967898073916,Moderate
-1.0667017524862776,Good
-0.7939725996095236,Moderate
-0.9379129858500327,Good
-0.4909402075242412,Unhealthy For Sensitive Groups
-0.718214501588203,Moderate
-1.104580801496938,Good
-1.1727630897161265,Good
-1.1348840407054663,Good
-0.9227613662457687,Good
-0.9151855564436365,Moderate
-1.1273082309033342,Good
-1.2864002367481076,Good
-0.8621548878287121,Moderate
-0.02881580959418558,Unhealthy
-0.39245468009652446,Unhealthy For Sensitive Groups
-0.9454887956521648,Good
-1.097004991694806,Good
-0.6045773545562221,Moderate
-0.8773065074329762,Moderate
-0.8773065074329762,Moderate
-0.9151855564436365,Moderate
-0.9530646054542968,Good
-0.9530646054542968,Good
-0.1727561958346947,Unhealthy For Sensitive Groups
-1.1727630897161265,Good
-0.8697306976308442,Moderate
-1.089429181892674,Good
-0.9227613662457687,Good
-1.104580801496938,Good
-0.7409419309945992,Moderate
-0.9379129858500327,Good
-0.8091242192137877,Moderate
-0.9909436544649571,Good
-0.8545790780265801,Moderate
-0.968216225058561,Good
-0.7560935505988633,Moderate
-1.1273082309033342,Good
-1.1121566112990702,Good
-0.2333626742517512,Unhealthy For Sensitive Groups
-0.8848823172351084,Moderate
-0.7712451702031274,Moderate
-0.9833678446628251,Good
-0.975792034860693,Good
-0.725790311390335,Moderate
-0.8621548878287121,Moderate
-0.8091242192137877,Moderate
-1.1954905191225227,Good
-1.0742775622884098,Good
-0.9227613662457687,Good
-0.6651838329732785,Moderate
-1.0818533720905419,Good
-0.8545790780265801,Moderate
-0.08184647820911,Unhealthy
-1.0515501328820136,Good
-1.1727630897161265,Good
0.9711910842872463,Very Unhealthy
-1.1576114701118625,Good
-1.0212468936734853,Good
-0.9151855564436365,Moderate
-0.4985160173263733,Unhealthy For Sensitive Groups
-0.8394274584223159,Moderate
-1.1954905191225227,Good
-1.0060952740692213,Good
-0.9076097466415045,Moderate
0.0317906688228709,Unhealthy
-0.7409419309945992,Moderate
-0.4530611585135809,Unhealthy For Sensitive Groups
-0.6879112623796747,Moderate
-0.6727596427754107,Moderate
-1.0515501328820136,Good
-1.1954905191225227,Good
-1.1727630897161265,Good
-0.8697306976308442,Moderate
-1.1273082309033342,Good
-0.9606404152564288,Good
-0.9379129858500327,Good
-1.225793758331051,Good
-1.0667017524862776,Good
-0.9000339368393724,Moderate
-0.6651838329732785,Moderate
-1.1424598505075982,Good
-0.6727596427754107,Moderate
-0.36972725069012824,Unhealthy For Sensitive Groups
0.09997295704205943,Unhealthy
-0.8924581270372404,Moderate
-1.0363985132777496,Good
-1.0667017524862776,Good
-0.9833678446628251,Good
-0.6500322133690145,Moderate
-1.097004991694806,Good
-0.8773065074329762,Moderate
-0.9227613662457687,Good
-0.2863933428666756,Unhealthy For Sensitive Groups
-0.9076097466415045,Moderate
-0.4227579193050527,Unhealthy For Sensitive Groups
-0.6424564035668824,Moderate
-1.0288227034756174,Good
-1.0288227034756174,Good
-1.1121566112990702,Good
-0.36972725069012824,Unhealthy For Sensitive Groups
-0.9606404152564288,Good
-0.8848823172351084,Moderate
-0.43033372910718476,Unhealthy For Sensitive Groups
-0.6348805937647504,Moderate
-0.975792034860693,Good
-1.0515501328820136,Good
-0.9151855564436365,Moderate
-1.1727630897161265,Good
-0.9151855564436365,Moderate
-0.8167000290159198,Moderate
-0.975792034860693,Good
-1.1348840407054663,Good
-0.847003268224448,Moderate
-1.225793758331051,Good
-0.6803354525775427,Moderate
-0.9833678446628251,Good
-1.1348840407054663,Good
-1.0515501328820136,Good
-1.0363985132777496,Good
-1.1500356603097304,Good
-1.0439743230798815,Good
-0.8394274584223159,Moderate
-0.2939691526688077,Unhealthy For Sensitive Groups
-1.1424598505075982,Good
-0.2333626742517512,Unhealthy For Sensitive Groups
-1.0591259426841457,Good
-0.6348805937647504,Moderate
